time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.858974426282492e-07,3.773306580439012e-07,10.005490903392465,0.0003108463019509955,0.00044148339364191713,0.0,-4.821906413191005e-05,3.2190915611983166e-05,0.1830177684274084,0.013926567608560425,0.01905035631949839,0.0,461.99219425238886,463.4914734573434,461.69156559811563,462.7887739951384
0.12000000000000001,-1.5598817892255918e-05,1.1340442012710599e-05,10.017492330783282,0.0014823958072147647,0.0013327947218870762,0.0,-0.0005475965706830476,0.0004275250312886632,0.2170234908878491,0.028864116851738862,0.0047645195935475376,0.0,416.3436179052829,415.0919806642907,414.5804194038425,415.89059315921986
0.18,-7.369177076957017e-05,7.018224877008029e-05,10.031104586728823,0.003515079105425478,0.0015286801144416273,0.0,-0.0014107015687075367,0.0017048575553623348,0.23671390239545742,0.04238139494363584,8.235826491171674e-05,0.0,411.4486261240269,411.0339022182139,409.5317823259972,410.7327012346396
0.23999999999999996,-0.00018884202067118028,0.0002512863955077502,10.047442317057948,0.005791171409615714,0.0017717106421271112,0.0,-0.0024407018037640176,0.004569277942937319,0.30785900529266924,0.02709770613007946,0.010994865055241044,0.0,427.4561844568638,428.3848931443176,428.16987440132186,426.8685833043734
0.3,-0.00036757379826093993,0.0006278965461832869,10.065068263738558,0.007457787328788434,0.0018754474601676563,0.0,-0.0035619732270753867,0.008121144218714373,0.27967924464115507,0.029101700040602942,-0.032750462842695754,0.0,395.24485074858103,391.1930634479996,395.1748373920061,395.3597917577115
0.36000000000000004,-0.0006181445019541256,0.001306311886984951,10.088639711820324,0.009799401183792966,6.282908392941054,0.0,-0.004542814285902048,0.014744972287076656,0.5059606935878997,0.05379293290975499,-0.042989221949736506,0.0,475.9987760427871,475.2142151527843,474.2508940430991,476.14391590664576
0.4200000000000001,-0.0008756555968942655,0.002400020934079046,10.121447195258266,0.012699951906319562,6.280457152534725,0.0,-0.003791479772945026,0.022018940137567857,0.5875794982645318,0.034269669359984545,-0.03689426396239004,0.0,431.711292402272,432.22424824012506,431.50280291179405,429.85323215648754
0.48000000000000015,-0.0010495817501056924,0.003945207439997155,10.15615917986855,0.01496081641343494,6.278430118017434,0.0,-0.0018273305509447127,0.029670424126102418,0.5694928863521316,0.043752887733741745,-0.028195089814236407,0.0,398.0859048489122,398.8803858326927,397.1959578189063,398.06543552409175
0.5400000000000001,-0.0010629703831515843,0.006018651247938434,10.1916439409876,0.0177452741583215,6.276461231202489,0.0,0.001550430289730889,0.03969777564759491,0.6133045982195442,0.05124742639327159,-0.044181674981700295,0.0,419.23032392399097,417.8386035504719,419.28062674567724,419.9325529948118
0.6000000000000002,-0.000823801279243142,0.008771275222071459,10.231032395762396,0.020655894476252712,6.273770951617216,0.0,0.00668852326443297,0.05235515262882047,0.6995866689565551,0.04238341778943764,-0.04618361466857384,0.0,433.3660727280859,433.1965756579445,433.04134654285906,432.2966909822204
0.6600000000000003,-0.00014871745177754455,0.012496744686465042,10.28295520572441,0.023749095817866106,6.271250915276948,0.0,0.01617094277791627,0.07221186430592326,1.030922247726511,0.06545291579063406,-0.03472992339809801,0.0,504.41556691771166,505.24115905579873,505.5642107559713,507.22472864102645
0.7200000000000003,0.0011165737123337786,0.017416100729067924,10.351083041391437,0.02827981329055529,6.268962974372133,0.0,0.02625991118778487,0.09226702501653103,1.2397856033205839,0.09042428409750639,-0.04599236724269716,0.0,471.29319804003353,470.4213666423201,470.8622915581768,472.79388138620703
0.7800000000000004,0.0030074551826567483,0.02357865228865712,10.429198564935058,0.03391043220647649,6.265858581676085,0.0,0.03707318704736573,0.11373120306602444,1.363901409466278,0.09992541411956335,-0.06685760862320855,0.0,447.44263239958786,445.7390524224925,445.3186305047721,446.1024473545868
0.8400000000000004,0.00568871102921941,0.03128950194374302,10.518699601796126,0.039823897610867576,6.2624986269451455,0.0,0.052749506819220644,0.14402923205924445,1.6191029855650623,0.0956740349354894,-0.040208205897874105,0.0,485.15575637372757,487.1502911814025,485.29759482895287,484.98585703157613
0.9000000000000005,0.009296303004669526,0.04078998390289989,10.619182691535729,0.045689059599677506,6.26106696239569,0.0,0.0676872699834687,0.17324773430252996,1.730139445683767,0.101613016895309,-0.002819791944481091,0.0,442.177077497152,445.2459494979658,442.4703231883553,442.96715715327304
0.9600000000000005,0.013875943209000098,0.05228117807657598,10.728705272484854,0.05278003046790136,6.260681732786484,0.0,0.08499109387239348,0.21055130944271508,1.9202708856628492,0.13940028053489517,-0.014822774728049395,0.0,468.2170383588566,467.28245727307245,466.4094484314704,469.3621380137463
1.0200000000000005,0.019508932072227828,0.06619218089950878,10.84977388771758,0.06085789765184213,6.259314401218296,0.0,0.10288769512419052,0.2540852967387331,2.114947143079777,0.12281178324395538,-0.04775688898244771,0.0,470.36700196174684,467.8095147332976,471.3553689575488,470.08718940864867
1.0800000000000005,0.026166660405359372,0.08267103124002918,10.978826564737137,0.06816201618515194,6.256142372768242,0.0,0.1193260757881,0.29591684373516475,2.1866134739189187,0.11949276225335426,-0.06579416645360085,0.0,433.5555764500035,432.03548713371185,432.8395517858351,432.5739893342292
1.1400000000000006,0.033895602435460394,0.10184928041084171,11.112821239847753,0.07479649146323464,6.2523309827284415,0.0,0.1386920652492747,0.3440528356252681,2.279622884839904,0.0792969069699265,-0.05933129078197401,0.0,440.4520399838076,440.98320384064823,440.9703256372395,437.6476177509476
